code,name,native_speakers,country,region,gl,anglicized_name
ywt-x-datusiyi,Datusi Yi,,China,Asia,zh,Datusi Yi
krr-x-lun,Lun,,Cambodia,Asia,km,Lun
itd,Southern Tidung,,Indonesia,Pacific,id,Southern Tidung
ntd,Northern Tidung,,Malaysia,Pacific,ms,Northern Tidung
spg-x-punanrian,Punan Rian,,Indonesia,Pacific,id,Punan Rian
pud-x-punanmetut,Punan Metut,,Indonesia,Pacific,id,Punan Metut
xkl-x-longjalan,Long Jalan,,Indonesia,Pacific,id,Long Jalan
xkl-x-longlake,Long Lake,,Indonesia,Pacific,id,Long Lake
puf-x-mirau,Mirau,,Indonesia,Pacific,id,Mirau
pez-x-longiman,Long Iman,,Indonesia,Pacific,id,Long Iman
puc-x-tanglaan,Tang La'an,,Indonesia,Pacific,id,Tang La'an
xky-x-longnyau,Long Nyau,,Indonesia,Pacific,id,Long Nyau
puj-x-longranau,Long Ranau,,Indonesia,Pacific,id,Long Ranau
puj-x-longlihi,Long Lihi,,Indonesia,Pacific,id,Long Lihi
puj-x-longtiti,Long Titi,,Indonesia,Pacific,id,Long Titi
puj-x-menaburbes,Menabur Besar,,Indonesia,Pacific,id,Menabur Besar
puj-x-riantubu,Rian Tubu,,Indonesia,Pacific,id,Rian Tubu
otd-x-dohoy,Dohoy,,Indonesia,Pacific,id,Dohoy
lbx-x-capuracu,Capur Acu,,Indonesia,Pacific,id,Capur Acu
omw-x-obura,Obura,,Papua New Guinea,Pacific,tpi,Obura
omw-x-tookena,Tookena,,Papua New Guinea,Pacific,tpi,Tookena
gaj-x-norikori,Norikori,,Papua New Guinea,Pacific,tpi,Norikori
omw-x-bonta,Bonta,,Papua New Guinea,Pacific,tpi,Bonta
omw-x-marawak,Marawak,,Papua New Guinea,Pacific,tpi,Marawak
agd-x-agarabkain,Agarabi Kainantu,,Papua New Guinea,Pacific,tpi,Agarabi Kainantu
agd-x-agarabyonk,Agarabi Yonki,,Papua New Guinea,Pacific,tpi,Agarabi Yonki
swp-x-lausaha,Lausaha,,Papua New Guinea,Pacific,tpi,Lausaha
sew-x-bokera,Bokera,,Papua New Guinea,Pacific,tpi,Bokera
sew-x-miadeba,Miadeba,,Papua New Guinea,Pacific,tpi,Miadeba
sew-x-darubia,Darubia,,Papua New Guinea,Pacific,tpi,Darubia
sew-x-sawataitai,Sawataitai,,Papua New Guinea,Pacific,tpi,Sawataitai
mcq-x-akabafa,Akabafa,,Papua New Guinea,Pacific,tpi,Akabafa
mti-x-mawaenage,Mawae Nage,,Papua New Guinea,Pacific,tpi,Mawae Nage
nyn-x-runyaruguru,Runyaruguru,,Uganda,Africa,sw,Runyaruguru
puj-x-sebaing,Sebaing,,Indonesia,Pacific,id,Sebaing
puj-x-bintuan,Bintuan,,Indonesia,Pacific,id,Bintuan
puc-x-nahakramu,Naha Kramu,,Indonesia,Pacific,id,Naha Kramu
tel-x-barda,Barda,,India,South Asia,te,Barda
kfc-x-kirad,Kirad,,India,South Asia,te,Kirad
mar-x-mayalamarat,Mayalamarathian,,India,South Asia,mr,Malayamaratian
tel-x-vadi,Vadi,,India,South Asia,te,Vadi
mbb-x-kiriyenteken,Kiriyenteken,,Philippines,Pacific,ceb,Kiriyenteken
tbl-x-ubo,Ubo,,Philippines,Pacific,tl,Ubo
tbl-x-southtboli,Southern Tboli,,Philippines,Pacific,tl,Southern Tboli
brj,Bieria,25,Vanuatu,Pacific,fr,Bieria
wwo,Wetamut,160,Vanuatu,Pacific,fr,Dorig
nyu-x-nhungue,Nhungue,500,Mozambique,Africa,pt,Nungwe
tgk-UZ-lyuli,Lyuli,,Uzbekistan,Eurasia,ru,Lyuli
kca-x-kazim,Khanty Kazim,,Russian Federation,Eurasia,ru,Khanty Kazim
piy-x-wurkum,Wurkum,,Nigeria,Africa,en,Wurkum
igw-x-sale,Igwe-Sale,,Nigeria,Africa,en,Igwe-Sale
jbu-x-fete,Fete,,Nigeria,Africa,en,Fete
tbg-x-abuhaina,Abuhaina,,Papua New Guinea,Pacific,tpi,Abuhaina
tbg-x-nanta,Nanta,,Papua New Guinea,Pacific,tpi,Nanta
iba-x-baraipenye,Dayak Barai Penyelompat,,Indonesia,Pacific,id,Dayak Barai Penyelompat
iba-x-ketior,Dayak Ketior,,Indonesia,Pacific,id,Dayak Ketior
iba-x-siberuang,Dayak Siberuang Sejiram,,Indonesia,Pacific,id,Dayak Siberuang Sejiram
iba-x-salako,Dayak Salako,,Indonesia,Pacific,id,Dayak Salako
iba-x-sepatoi,Dayak Sepatoi,,Indonesia,Pacific,id,Dayak Sepatoi
iba-x-,Dayak Sangku,,Indonesia,Pacific,id,Dayak Sangku
iba-x-selawe,Dayak Selawe,,Indonesia,Pacific,id,Dayak Selawe
iba-x-selibong,Dayak Selibong,,Indonesia,Pacific,id,Dayak Selibong
iba-x-silatmunta,Dayak Silat Muntak,,Indonesia,Pacific,id,Dayak Silat Muntak
iba-x-sikung,Dayak Sikung,,Indonesia,Pacific,id,Dayak Sikung
iba-x-sontas,Dayak Sontas,,Indonesia,Pacific,id,Dayak Sontas
iba-x-sekajang,Dayak Sekajang,,Indonesia,Pacific,id,Dayak Sekajang
iba-x-tadietn,Dayak Tadietn,,Indonesia,Pacific,id,Dayak Tadietn
iba-x-entebang,Dayak Entebang,,Indonesia,Pacific,id,Dayak Entebang
iba-x-sangku,Dayak Sangku,,Indonesia,Pacific,id,Dayak Sangku
hkn-x-melkhaonh,Mel-Khaonh,,Cambodia,Asia,km,Mel-Khaonh
xdy-x-delang,Delang,,Indonesia,Pacific,id,Delang
xdy-x-belantika,Belantikan,,Indonesia,Pacific,id,Belantikan
otd-x-kadori,Kadorih,,Indonesia,Pacific,id,Kadorih
smk-x-Bolanons,Bol-Anons,,Philippines,Pacific,tl,Bol-Anons
knb-x-ibalatok,Ibalatok,,Philippines,Pacific,tl,Ibalatok
ksc-x-isumadel,Isumadel,,Philippines,Pacific,tl,Isumadel
kdt-x-kuaytreu,Kuay Treu,,Cambodia,Asia,km,Kuay Treu
rmt-JO-domari,Domari,,Jordan,Eurasia,ar,Domari
xdy-x-lamandau,Lemandau,,Indonesia,Pacific,ms,Malayic Dayak
bhy-x-bapakombe,Bapakombe,,Democratic Republic of the Congo,Africa,fr,Bapakombe
qaa-x-249d36,Ibalantoy,,Philippines,Pacific,tl,Ibaloi
knb-x-tobog,Tobog,,Philippines,Pacific,tl,Tobog
kml-x-pangul,Pangul,,Philippines,Asia,tl,Pangul
ilp,Philippine Iranun,,Philippines,Pacific,tl,Philippine Iranun
ilm,Malaysian Iranun,,Malaysia,Asia,ms,Malaysian Iranun
ceb-x-boholano,Boholano,,Philippines,Asia,ceb,Boholano
nuv-x-extrnornuni,Extreme Northern Nuni,,Burkina Faso,Africa,fr,Extreme Northen Nuni
saw-x-erary,Sawi Erary,,Indonesia,Pacific,id,Sawi Erary
mek-x-northmekeo,North Mekeo,,Papua New Guinea,Pacific,en,North Mekeo
mta-x-tasaday,Tasaday,,Philippines,Asia,tl,Tasaday
knl-x-ulusekadau,Dayak Ulu Sekadau,,Indonesia,Pacific,id,Dayak Ulu Sekadau
knb-x-balantoy,Kalinga Balantoy,,Philippines,Pacific,tl,
mta-x-sulitmanob,Sulit Manobo,,Philippines,Pacific,tl,Sulit Manobo
sdm-x-sekucngkua,Dayak Sekucing Kualan,,Indonesia,Pacific,id,Dayak Sekucing Kualan
saw-x-sawierary,Sawi Erary,,Indonesia,Pacific,id,Sawi Erary
tel-x-dudekula,Dudekula,,India,South Asia,te,Dudekula
tel-x-bheel,Bheel,,India,South Asia,te,Bheel
bgd-x-pawari,Pawari,,India,South Asia,hi,Pawari
tel-x-chamari,Chamari (Telugu),,India,South Asia,te,
nij-x-menuhing,Menuhing Tehang,,Indonesia,Pacific,id,Menuhing Tehang
xdy-x-batangkawa,Batang Kawa,,Indonesia,Pacific,id,
fan-x-malabo,Malabo Fang,,Equatorial Guinea,Africa,fr,Malabo Fang
otd-x-rangsa,Rangsa,,Indonesia,Pacific,id,Rangsa
otd-x-mahalat,Mahalat,,Indonesia,Pacific,id,Mahalat
wbw-x-woinap,Woinap,,Indonesia,Pacific,id,Woinap
swp-x-bonalua,Bonalua,,Papua New Guinea,Pacific,tpi,Bonalua
zia-x-mawainage,Mawai Nage,,Papua New Guinea,Pacific,tpi,Mawae Nage
kpw-x-kou,Kou,,Papua New Guinea,Pacific,tpi,Kou
pmo-x-serewen,Serewen,,Indonesia,Pacific,id,Serewen
gaj-x-omaura,Gadsup Omaura,,Papua New Guinea,Pacific,tpi,Gadsup Omaura
naf-x-lowernabak,Nabak Lower,,Papua New Guinea,Pacific,tpi,Nabak Lower
mgu-x-derebai,Derebai,,Papua New Guinea,Pacific,tpi,Derebai
pla-x-mianinorth,Miani North,,Papua New Guinea,Pacific,tpi,Miani North
grr-x-figuigber,Figuig Berber,,Morocco,Africa,ar,Figuig Berber
cgg-x-rutwa,Rutwa,,Uganda,Africa,sw,Rutwa
gaj-x-wandamo,Wandamo,5000,Papua New Guinea,Pacific,tpi,Wandamo
fad-x-kamba,Kamba,,Papua New Guinea,Pacific,tpi,Kamba
kan-x-lambadi,Lambadi (Kannada script),,India,South Asia,kn,Lambadi
tel-x-pardhi,Pardhi (Telugu script),,India,South Asia,te,
kan-x-waddar,Waddar (Kannada script),,India,South Asia,kn,
lao-x-laonhook,Lao Nhook,,Cambodia,Asia,km,Lao Nhook
cog-x-kola,Kola,,Cambodia,Asia,km,Kola
lbx-x-bantian,Dayak Bantian,,Indonesia,Pacific,id,Dayak Bantian
duw-x-dusunpepas,Dusun Pepas,,Indonesia,Pacific,id,Dusun Pepas
xdy-x-parenggean,Parenggean,,Indonesia,Pacific,id,Parenggean
aey-x-jagalaha,Jagahala,3000,Papua New Guinea,Pacific,en,Jagahala
ifa-x-munibannaw,Mun'ibannawol,,Philippines,Pacific,ilo,Mun'ibannawol
ifk-x-yattuca,Yattuca,,Philippines,Pacific,ilo,Yattuca
mry-x-manay,Manay,,Philippines,Pacific,ceb,Manay
pho-x-taihe,Tai He,,Laos,Asia,lo,Tai He
mji-x-lanten,Lanten,,Laos,Asia,lo,Lanten
jeg-x-lawi,Lawi,,Laos,Asia,lo,Lawi
skv-x-moso,Moso,,Indonesia,Pacific,id,Moso
rka-x-tmoan,T'moan,,Cambodia,Asia,km,T'moan
drg-x-gonsomon,Gonsomon,,Malaysia,Asia,ms,Gonsomon
kqr-x-sonsogon,Sonsogon,,Malaysia,Asia,ms,Sonsogon
kqr-x-sandayo,Sandayo,,Malaysia,Asia,ms,Sandayo
slp-x-pamakayu,Pamakayu,,Malaysia,Pacific,id,Pamakayu
pcl-x-thakan,Thakan,,India,South Asia,kn,
lmn-x-anjara,Anjara,,India,South Asia,te,Anjara
tel-x-alba,Alba,,India,South Asia,te,Alba
tel-x-allami,Allami,,India,South Asia,te,Allami
vaa-x-akkipikki,Akki Pikki,,India,South Asia,te,Akki Pikki
tel-x-ardhan,Ardhan,,India,South Asia,te,Ardhan
tel-x-ardhi,Ardhi,,India,South Asia,te,
tel-x-arttap,Arttap,,India,South Asia,te,
kan-x-bavari,Bavari,,India,South Asia,kn,
tel-x-bommala,Bommala,,India,South Asia,te,Bommala
kan-x-koungaru,Koungaru,,India,South Asia,kn,Koungaru
tel-x-dhaba,Dhaba,,India,South Asia,te,Dhaba
tel-x-onda,Onda,,India,South Asia,te,Onda
kan-x-khacha,Khacha,,India,South Asia,kn,Khacha
tel-x-kovi,Kovi,,India,South Asia,te,Kovi
tel-x-orku,Orku,,India,South Asia,te,Orku
tel-x-osti,Osti,,India,South Asia,te,Osti
tel-x-pichigunta,Phichiguntala,,India,South Asia,te,
tel-x-otiya,Otiya,,India,South Asia,te,
tel-x-piya,Piya,,India,South Asia,te,Piya
tel-x-pusala,Pusala,,India,South Asia,te,Pusala
kan-x-yekalavya,Yekalavya,,India,South Asia,kn,Yekalavya
tel-x-thakan,Thakan,,India,South Asia,te,Thakan
kei-x-tanimbar,Tanimbar,,Indonesia,Asia,id,Tanimbar
sws-x-makatian,Makatian,,Indonesia,Asia,id,Makatian
duk-x-duduela,Duduela,,Papua New Guinea,Pacific,tpi,Duduela
duk-x-buai,Buai,,Papua New Guinea,Pacific,tpi,Buai
aac-x-siraul,Siraul,,Papua New Guinea,Pacific,tpi,Siraul
aey-x-ohu,Ohu,,Papua New Guinea,Pacific,tpi,Ohu
omw-x-piora,Piora,,Papua New Guinea,Pacific,tpi,Piora
nya-x-nyanja,Nyanja,,Zambia,Africa,en,Nyanja
lbn,Lamet,22000,Laos,Asia,lo,Lamet
lbo-x-champasak,Laven Champasak,,Laos,Asia,lo,Laven Champasak
alk-alakatapue,Alak Atapue,,Laos,Asia,lo,Alak Atapue
alk-x-alakxekong,Alak Xekong,,Laos,Asia,lo,Alak Xekong
kdt-x-kuaysuai,Kuay Suai,,Cambodia,Asia,km,Kuy Suay
mry-x-uppermanay,Upper Manay,,Philippines,Asia,ceb,Upper Manay
lao-x-laotiene,Lao tiene,,Laos,Pacific,lo,Lao Tiene
lbo-x-lavenxekon,Laven Xekong,,Laos,Asia,lo,Laven Xekong
adr-x-waiwerang,Waiwerang,,Indonesia,Asia,id,Waiwerang
hsn-x-liupanshui,Miao Liupanshui,,China,Asia,zh,Miao Liupanshui
tnm-x-yewena,Yewena,,Indonesia,Pacific,id,
tnm-x-yokari,Yokari,,Indonesia,Pacific,id,Yokari
bug-x-bugissinja,Bugis Sinjai,,Indonesia,Pacific,id,Bugissinja
bts-x-riangkamie,Timur Riangkamie,,Indonesia,Pacific,id,Timur Riangkamie
job-x-kivira,Kivira,,Democratic Republic of the Congo,Africa,fr,Kivira
hke-x-bakobo,Bakobo,,Democratic Republic of the Congo,Africa,fr,Bakobo
kin-x-kinyabinza,Kinyabinza,,Democratic Republic of the Congo,Africa,fr,Kinyabinza
kmw-x-nyiragongo,Kikumu Nyiragongo,,Democratic Republic of the Congo,Africa,fr,
kmw-x-walekale,Kikumu Walekale,,Democratic Republic of the Congo,Africa,fr,Kikumu Walekale
kmw-x-punia,Kikumu Punia,,Democratic Republic of the Congo,Africa,fr,
kmw-x-lubuto,Kikumu Lubuto,,Democratic Republic of the Congo,Africa,fr,Kikumu Lubuto
hkn-x-mel,Mel,,Cambodia,Asia,km,Mel
knb-x-karakkad,Karakkad,,Philippines,Asia,ilo,
mwq-x-nise,Ni-Se,,Myanmar,Asia,my,Ni-Se
kgr-x-madik,Moi Madik,,Indonesia,Asia,id,Moi Madik
kps-x-kaigar,Kaigar,,Indonesia,Asia,id,Kaigar
mxn-x-moikelin,Moi Kelin,,Indonesia,Asia,id,Moi Kelin
agd-x-agarabibus,Agarabi Bus,,Papua New Guinea,Pacific,tpi,Agarabi Bus
agd-x-name,Agarabi Name,,Papua New Guinea,Pacific,tpi,Agarabi Name
agd-x-kona,Agarabi Kona,,Papua New Guinea,Pacific,tpi,Agarabi Kona
for-x-keya,Fore Keya,,Papua New Guinea,Pacific,tpi,Fore Keya
for-x-abomatasa,Abomatasa,,Papua New Guinea,Pacific,tpi,Abomatasa
for-x-pamusa,Fore Pamusa,,Papua New Guinea,Pacific,tpi,Fore Pamusa
for-x-foreati,Fore Ati,,Papua New Guinea,Pacific,tpi,Fore Ati
mek-x-nmekioupst,North Mekio Upstream,,Papua New Guinea,Pacific,tpi,North Mekio Upstream
kin-x-kijovu,Kijovu,,Democratic Republic of the Congo,Africa,fr,Kijovu
nlo-x-bangholu,Bangholu,,Democratic Republic of the Congo,Africa,fr,Bangholu
nnb-x-kinyabwito,Kinyabwito,,Democratic Republic of the Congo,Africa,fr,Kinyabwito
bhy-x-bakombe,Bakombe,,Democratic Republic of the Congo,Africa,fr,Bakombe
agh-x-balema,Balema,,Democratic Republic of the Congo,Africa,fr,Balema
kin-x-biofu,Biofu,,Democratic Republic of the Congo,Africa,fr,Biofu
mva-x-wanir,Wanir,,Papua New Guinea,Pacific,tpi,Wanir
agd-x-namel,Agarabi Namel,,Papua New Guinea,Pacific,tpi,Agarabi Namel
ygr-x-iyau,Iyau,,Papua New Guinea,Pacific,tpi,Iyau
for-x-forepamusa,Pamusa,,Papua New Guinea,Pacific,tpi,Pamusa
auy-x-ati,Ati,,Papua New Guinea,Pacific,tpi,Ati
auy-x-abomatasa,Abomatasa,,Papua New Guinea,Pacific,tpi,Abomatasa
gim-x-ibusakava,Ibusakava,,Papua New Guinea,Pacific,tpi,Ibusakava
gim-x-ovavo,Ovavo,,Papua New Guinea,Pacific,tpi,Ovavo
snp-x-wandodavar,Wandodavarasa,,Papua New Guinea,Pacific,tpi,Wandodavarasa
gah-x-lapigufimi,Lapigu Fimito,,Papua New Guinea,Pacific,tpi,Lapigu Fimito
zuh-x-ifiyufa,Mando Ifiyufa,,Papua New Guinea,Pacific,tpi,Mando Ifiyufa
pcc-x-giaynhan,Giay Nhan,,Vietnam,Asia,vi,Giay Nhan
bgr-x-panam,PaNam,,Myanmar,Asia,my,PaNam
tgn-x-kadi,Kadi,,Philippines,Asia,ceb,Kadi
shr-x-hwindja,Hwindja,,Democratic Republic of the Congo,Africa,fr,Hwindja
auy-x-kaiwana,Kaiwana,,Papua New Guinea,Pacific,tpi,Kaiwana
auy-x-arora,Arora,,Papua New Guinea,Pacific,tpi,Arora
auy-x-moife,Moife,,Papua New Guinea,Pacific,tpi,Moife
