code,name,native_speakers,country,region,gl,anglicized_name
nmz,Nawdm,152000,Togo,Africa,fr,Nawdm
wha,Manusela,7000,Indonesia,Pacific,id,Manusela
tdj,Tajio,12000,Indonesia,Pacific,id,Tajio
pku,Paku,3500,Indonesia,Pacific,id,Paku
aaq,Eastern Abnaki,,United States,Americas,en,Abenaki
ppm,Papuma,600,Indonesia,Pacific,id,Papuma
ado,Abu,4200,Papua New Guinea,Pacific,tpi,Abu
adr,Adonara,98000,Indonesia,Pacific,id,Adonara
aag,Ambrak,290,Papua New Guinea,Pacific,tpi,Ambrak
abw,Pal,1200,Papua New Guinea,Pacific,tpi,Pal
bgi,Giangan,55000,Philippines,Asia,ceb,Giangan
pcp,Pacahuara,,Bolivia,Americas,es-419,Pacahuara
pkg,Pak-Tong,970,Papua New Guinea,Pacific,tpi,Pak-Tong
aak,Ankave,1600,Papua New Guinea,Pacific,tpi,Ankave
aby,Aneme Wake,650,Papua New Guinea,Pacific,tpi,Aneme Wake
pna,Punan Bah-Biau,450,Malaysia,Asia,ms,Penan
piu,Pintupi-Luritja,,Australia,Pacific,en,Pintupi-Luritja
piz,Pije,,New Caledonia,Pacific,en,Pije
abf,Abai Sungai,500,Malaysia,Asia,ms,Abai Sungai
pkn,Pakanha,,Australia,Pacific,en,Pakanha
prl,Peruvian Sign Language,,Peru,Americas,es-419,Peruvian Sign Language
pks,Pakistan Sign Language,7400000,Pakistan,Eurasia,ur,Pakistan Sign Language
acr,Achi,,Guatemala,Americas,es-419,Achi
agj,Argobba,44000,Ethiopia,Africa,am,Argobba
phw,Phangduwali,290,Nepal,South Asia,ne,Phangduwali
abc,Ambala Ayta,1660,Philippines,Asia,ceb,Ayta
abd,Manide,3800,Philippines,Asia,ilo,Manide
aed,Argentine Sign Language,,Argentina,Americas,es-419,Argentine Sign Language
aeq,آیر زبان,150,Pakistan,Eurasia,ur,Aer
pho,Phunoi,43000,Laos,Asia,lo,Phunoi
aem,Arem,85,Vietnam,Asia,vi,Arem
aek,Haeke,,New Caledonia,Pacific,en,Haeke
acv,Achumawi,,United States,Americas,en,Achumawi
abv,العربية البحرانية,600000,Bahrain,Eurasia,ar,Arabic
aca,Achagua,,Colombia,Americas,es-419,Achagua
alc,Qawasqar,,Chile,Americas,es-419,Qawasqar
pcn,Piti,8100,Nigeria,Africa,en,Piti
adu,Aduge,1900,Nigeria,Africa,en,Aduge
abm,Abanyom,13000,Nigeria,Africa,en,Abanyom
abn,Abua,25000,Nigeria,Africa,en,Abua
acb,Áncá,300,Nigeria,Africa,en,Áncá
pil,Yom,330000,Benin,Africa,fr,Yom
nmg,Kwasio,26000,Cameroon,Africa,fr,Kwasio
gou,Gavar,15000,Cameroon,Africa,fr,Gavar
ael,Ambele,2600,Cameroon,Africa,fr,Ambele
bgj,Bangolan,16000,Cameroon,Africa,fr,Bangolan
abb,Bankon,14000,Cameroon,Africa,fr,Bankon
add,Dzodinka,2500,Cameroon,Africa,fr,Dzodinka
abr,Abron,1400000,Ghana,Africa,en,Abron
ada,Adangme,710000,Ghana,Africa,en,Dangme
adh,Adhola,415000,Uganda,Africa,en,Adhola
adj,Adioukrou,120000,Côte d’Ivoire,Africa,fr,Adioukrou
adw,Amundava,70,Brazil,Americas,pt,Amundava
ttt-x-ismai,Ismaili,,Azerbaijan,Eurasia,ru,Ismaili
ttt-x-txizi,Xizi,,Azerbaijan,Eurasia,ru,Chichi
ahl,Igo,8000,Togo,Africa,fr,Igo
aia,Arosi,,Solomon Islands,Pacific,pis,Arosi
aio,Aiton,1500,India,South Asia,as,Aiton
aks,Akaselem,62000,Togo,Africa,fr,Akaselem
kpo,Ikposo,161000,Togo,Africa,fr,Ikposo
anm,Anal,23200,India,South Asia,mni,Anal
prp,Parsi,151000,India,South Asia,gu,Parsi
bxo,Barikanchi,-1,Nigeria,Africa,en,Barikanchi
amu,Guerrero Amuzgo,,Mexico,Americas,es-419,Amuzgo
pni,Aoheng,2630,Indonesia,Pacific,id,Aoheng
agf,Arguni,150,Indonesia,Pacific,id,Arguni
ana,Andaqui,,Colombia,Americas,es-419,Andaqui
ple,Palu'e,3000,Indonesia,Pacific,id,Palu’e
ahh,Aghu,3000,Indonesia,Pacific,id,Aghu
aim,Aimol,2600,India,South Asia,hi,Aimol
pem-x-gipendega,Gipende Gatundu,,Democratic Republic of the Congo,Africa,fr,
nlo,Ngul,125000,Democratic Republic of the Congo,Africa,fr,Ngul
pms,Piemontese,,Italy,Eurasia,en,Piemontese
amv,Ambelau,8500,Indonesia,Pacific,id,Ambelau
nkz,Nkari,22000,Nigeria,Africa,en,Nkari
and,Ansus,7200,Indonesia,Pacific,id,Ansus
poq,Texistepec Popoluca,,Mexico,Americas,es-419,Popoluca
puf,Punan Merah,200,Indonesia,Pacific,id,Punan Merah
akc,Mpur,9800,Indonesia,Pacific,id,Mpur
ppa,Pao,53000,India,South Asia,hi,Pao
air,Airoran,1400,Indonesia,Pacific,id,Airoran
agk,Isarog Agta,1000,Philippines,Asia,ilo,Agta
akr,Araki,,Vanuatu,Pacific,fr,Araki
psa,Asue Awyu,8000,Indonesia,Pacific,id,Awyu
alj,Alangan,7700,Philippines,Asia,ilo,Alangan
nnf,Ngaing,2000,Papua New Guinea,Pacific,tpi,Ngaing
ipo,Ipiko,350,Papua New Guinea,Pacific,tpi,Ipiko
ahn,Àhàn,250,Nigeria,Africa,en,Àhàn
psw,Port Sandwich,,Vanuatu,Pacific,fr,Port Sandwich
aif,Agi,960,Papua New Guinea,Pacific,tpi,Agi
aic,Ainbai,100,Papua New Guinea,Pacific,tpi,Ainbai
aik,Ake,3100,Nigeria,Africa,en,Ake
anh,Nend,2000,Papua New Guinea,Pacific,tpi,Nend
akq,Ak,75,Papua New Guinea,Pacific,tpi,Ak
anj,Anor,980,Papua New Guinea,Pacific,tpi,Anor
akf,Akpa,90000,Nigeria,Africa,en,Akpa
prw,Parawen,430,Papua New Guinea,Pacific,tpi,Parawen
agn,Agutaynen,15000,Philippines,Asia,en,Agutaynen
agu,Aguacateco,,Guatemala,Americas,es-419,Awakateko
agw,Kahua,,Solomon Islands,Pacific,pis,Kahua
ahb,Axamb,,Vanuatu,Pacific,fr,Axamb
agl,Fembe,350,Papua New Guinea,Pacific,tpi,Fembe
ail,Aimele,140,Papua New Guinea,Pacific,tpi,Aimele
aki,Aiome,750,Papua New Guinea,Pacific,tpi,Aiome
ala,Alago,29500,Nigeria,Africa,en,Alago
bgl,Bo (Laos),3400,Laos,Asia,lo,Bo
aht,Ahtena,,United States,Americas,en,Ahtena
iba-x-dayakbanjur,Dayak Banjur,,Indonesia,Pacific,id,
nkx,Nkoroo,4600,Nigeria,Africa,en,Nkoroo
akl,Aklanon,435000,Philippines,Asia,en,Inakeanon
alh,Alawa,,Australia,Pacific,en,Alawa
yor-x-ondo,Ondo,,Nigeria,Africa,en,Ondo
akw,Akwa,28000,Congo,Africa,fr,Akwa
aiy,Ali,69000,Central African Republic,Africa,fr,Ali
anf,Animere,25,Ghana,Africa,en,Animere
nlo-x-ngwi,Ngwi,,Democratic Republic of the Congo,Africa,fr,
pre,Principense,160,São Tomé e Príncipe,Africa,pt,Principense
kan-x-palligaru,Palligaru,,India,South Asia,kn,
ard,Arabana,,Australia,Pacific,en,Arabana
apj,Jicarilla Apache,,United States,Americas,en,Apache
psl,Puerto Rican Sign Language,,Puerto Rico,Americas,es-419,Puerto Rican Sign Language
las,Lama (Togo),207000,Togo,Africa,fr,Lama
psn,Panasuan,800,Indonesia,Pacific,id,Panasuan
mia,Miami,,United States,Americas,en,Miami
apx,Aputai,120,Indonesia,Pacific,id,Aputai
asz,As,230,Indonesia,Pacific,id,As
apn,Apinayé,1260,Brazil,Americas,pt,Apinayé
psi,Southeast Pashai,180000,Afghanistan,Eurasia,ps,Pashai
atq,Aralle-Tabulahan,12000,Indonesia,Pacific,id,Aralle-Tabulahan
apg,Ampanang,38000,Indonesia,Pacific,id,Ampanang
aol,Alor,40000,Indonesia,Pacific,id,Alor
bvh,Bure,20,Nigeria,Africa,en,Bure
qul,North Bolivian Quechua,,Bolivia,Americas,es-419,Quechua
asy,Yaosakor Asmat,2900,Indonesia,Pacific,id,Asmat
aws,South Awyu,12000,Indonesia,Pacific,id,Awyu
anz,Anem,800,Papua New Guinea,Pacific,tpi,Anem
apk,Kiowa Apache,,United States,Americas,en,Apache
aod,Andarum,2200,Papua New Guinea,Pacific,tpi,Andarum
anx,Andra-Hus,1300,Papua New Guinea,Pacific,tpi,Andra-Hus
aoe,Angal Enen,80000,Papua New Guinea,Pacific,tpi,Angal Enen
qud,Calderón Highland Quichua,,Ecuador,Americas,es-419,Quichua
aof,Bragat,460,Papua New Guinea,Pacific,tpi,Bragat
apo,Ambul,10800,Papua New Guinea,Pacific,tpi,Ambul
qxs,Southern Qiang,81300,China,Asia,zh,Qiang
aso,Dano,30000,Papua New Guinea,Pacific,tpi,Dano
asx,Muratayak,1100,Papua New Guinea,Pacific,tpi,Muratayak
ate,Atemble,60,Papua New Guinea,Pacific,tpi,Atemble
apu,Apurinã,2000,Brazil,Americas,pt,Apurinã
arj,Arapaso,-1,Brazil,Americas,pt,Arapaso
app,Apma,,Vanuatu,Pacific,fr,Apma
asn,Xingú Asuriní,70,Brazil,Americas,pt,Asurini of Xingú
psm,Pauserna,,Bolivia,Americas,es-419,Pauserna
atz,Arta,11,Philippines,Asia,ilo,Arta
atw,Atsugewi,,United States,Americas,en,Atsugewi
atm,Ata,2,Philippines,Asia,ceb,Ata
ayc,Southern Aymara,,Peru,Americas,es-419,Aymara
pem-x-pindi,Kipindi,,Democratic Republic of the Congo,Africa,fr,
aok,Arhö,,New Caledonia,Pacific,en,Arhö
qxq,زبان ترکی قشقایی,1600000,Iran,Eurasia,fa,Kashkay
atn,زبان آشتیانی,21000,Iran,Eurasia,fa,Ashtiani
apf,Pahanan Agta,1700,Philippines,Asia,ilo,Agta
gio,仡佬,400,China,Asia,zh,A’ou
apl,Lipan Apache,,United States,Americas,en,Apache
pwb,Panawa,33000,Nigeria,Africa,en,Panawa
aqr,Arhâ,,New Caledonia,Pacific,en,Arhâ
ari,Arikara,,United States,Americas,en,Arikara
arl,Arabela,,Peru,Americas,es-419,Arabela
anv,Denya,15000,Cameroon,Africa,fr,Denya
arp,Arapaho,,United States,Americas,en,Arapaho
atk,Ati,1000,Philippines,Asia,en,Ati
aty,Aneityum,,Vanuatu,Pacific,fr,Aneityum
aqd,Ampari Dogon,6000,Mali,Africa,fr,Dogon
bgm,Baga Mboteni,3750,Guinea,Africa,fr,Baga Mboteni
nnu,Dwang,9500,Ghana,Africa,en,Dwang
puu,Punu,147000,Gabon,Africa,fr,Punu
ayg,Ginyanga,17200,Togo,Africa,fr,Ginyanga
aud,Anuta,,Solomon Islands,Pacific,pis,Anuta
auq,Anus,70,Indonesia,Pacific,id,Anus
awr,Awera,70,Indonesia,Pacific,id,Awera
grs,Gresi,2500,Indonesia,Pacific,id,Gresi
baj,Barakai,4800,Indonesia,Pacific,id,Barakai
ret,Retta,900,Indonesia,Pacific,id,Reta
nof,Nomane,6700,Papua New Guinea,Pacific,tpi,Nomane
bbv,Karnai,920,Papua New Guinea,Pacific,tpi,Karnai
bcf,Bamu,5400,Papua New Guinea,Pacific,tpi,Bamu
avt,Au,8000,Papua New Guinea,Pacific,tpi,Au
qxa,Chiquián Ancash Quechua,,Peru,Americas,es-419,Quechua
bik,Bikol,3800000,Philippines,Pacific,tl,Bikol
cng,Northern Qiang,57800,China,Asia,zh,Qiang
qxh,Panao Huánuco Quechua,,Peru,Americas,es-419,Quechua
rie,Rien,6100,Laos,Asia,lo,Rien
rka,Kraol,1960,Cambodia,Asia,km,Kraol
rgr,Resígaro,,Peru,Americas,es-419,Resígaro
rmz,Marma,165000,Bangladesh,South Asia,bn,Marma
awx,Awara,1950,Papua New Guinea,Pacific,tpi,Awara
awm,Arawum,50,Papua New Guinea,Pacific,tpi,Arawum
aya,Awar,900,Papua New Guinea,Pacific,tpi,Awar
ayq,Ayi (Papua New Guinea),410,Papua New Guinea,Pacific,tpi,Ayi
rmg,Traveller Norwegian,,Norway,Eurasia,en,Norwegian
awb,Awa (Papua New Guinea),2300,Papua New Guinea,Pacific,tpi,Awa
bbd,Bau,3200,Papua New Guinea,Pacific,tpi,Bau
bbf,Baibai,350,Papua New Guinea,Pacific,tpi,Baibai
awk,Awabakal,,Australia,Pacific,en,Awabakal
auk,Heyo,3100,Papua New Guinea,Pacific,tpi,Heyo
wud,Wudu,1500,Togo,Africa,fr,Wudu
uln,Unserdeutsch,-1,Papua New Guinea,Pacific,tpi,Unserdeutsch
auy,Awiyaana,13000,Papua New Guinea,Pacific,tpi,Awiyaana
avb,Avau,710,Papua New Guinea,Pacific,tpi,Avau
bch,Bariai,1650,Papua New Guinea,Pacific,tpi,Bariai
awt,Araweté,200,Brazil,Americas,pt,Araweté
pem-x-gipendegu,Gipende Gungu,,Democratic Republic of the Congo,Africa,fr,
aul,Aulua,,Vanuatu,Pacific,fr,Aulua
ram,Canela,2500,Brazil,Americas,pt,Canela
aut,Austral,,French Polynesia,Pacific,fr,Austral
knx-x-punangongsolok,Punan Gong Solok,,Indonesia,Pacific,id,
azt,Faire Atta,300,Philippines,Asia,ilo,Atta
ayi,Leyigha,10000,Nigeria,Africa,en,Leyigha
bbs,Bakpinka,4000,Nigeria,Africa,en,Bakpinka
azo,Awing,22000,Cameroon,Africa,fr,Awing
bbi,Barombi,3000,Cameroon,Africa,fr,Barombi
rn,Ikirundi,9600000,Burundi,Africa,sw,Kirundi
bbx,Bubia,600,Cameroon,Africa,fr,Bubia
bck,Bunaba,,Australia,Pacific,en,Bunaba
bgd,Rathwi Bareli,101000,India,South Asia,hi,Bareli
rng,Ronga,800000,Mozambique,Americas,pt,Ronga
reg,Kara (Tanzania),112000,Tanzania,Africa,sw,Kara
rnw,Rungwa,23400,Tanzania,Africa,sw,Rungwa
avn,Avatime,27500,Ghana,Africa,en,Avatime
avi,Avikam,26400,Côte d’Ivoire,Africa,fr,Avikam
bbm,Babango,4200,Democratic Republic of the Congo,Africa,fr,Babango
bcg,Baga Pokur,3700,Guinea,Africa,fr,Baga Pokur
bcb,Bainouk-Samik,1600,Senegal,Africa,fr,Bainouk-Samik
bbe,Bangba,14000,Democratic Republic of the Congo,Africa,fr,Bangba
bhy,Bhele,20000,Democratic Republic of the Congo,Africa,fr,Bhele
bbp,West Central Banda,6000,Central African Republic,Africa,fr,Banda
rom,Romany,1500000,Romania,Eurasia,en,Romany
no,Norsk,,Norway,Eurasia,en,Norwegian
bdf,Biage,1150,Papua New Guinea,Pacific,tpi,Biage
bgr,Bawm Chin,4440,India,South Asia,as,Chin
bjz,Baruga,2500,Papua New Guinea,Pacific,tpi,Baruga
bek,Bebeli,700,Papua New Guinea,Pacific,tpi,Bebeli
bjc,Bariji,530,Papua New Guinea,Pacific,tpi,Bariji
bjh,Bahinemo,650,Papua New Guinea,Pacific,tpi,Bahinemo
hni-x-longpuha,Longpu Hani,,China,Asia,zh,
bjp,Fanamaket,1250,Papua New Guinea,Pacific,tpi,Fanamaket
rnl,Ranglong,8000,India,South Asia,bn,Ranglong
bmu,Somba-Siawari,10500,Papua New Guinea,Pacific,tpi,Somba-Siawari
rat,Razajerdi,100,Iran,Eurasia,fa,Razajerdi
bgq,Bagri,647000,India,South Asia,hi,Bagri
bls,Balaesang,3000,Indonesia,Pacific,id,Balaesang
enq,Enga,264000,Papua New Guinea,Pacific,tpi,Enga
bfn,Bunak,60000,East Timor,Pacific,pt,Bunak
bed,Bedoanas,180,Indonesia,Pacific,id,Bedoanas
bgb,Bobongko,1500,Indonesia,Pacific,id,Bobongko
rnn,Roon,1500,Indonesia,Pacific,id,Roon
bdy,Bandjalang,,Australia,Pacific,en,Bandjalang
blj,Bolongan,38000,Indonesia,Pacific,id,Bolongan
bea,Beaver,,Canada,Americas,en,Beaver
bdw,Baham,1700,Indonesia,Pacific,id,Baham
bdb,Basap,17000,Indonesia,Pacific,id,Basap
bfz,Mahasu Pahari,1000000,India,South Asia,hi,Pahari
rwo,Rawa,12000,Papua New Guinea,Pacific,tpi,Rawa
bio,Nai,750,Papua New Guinea,Pacific,tpi,Nai
bcv,Shoo-Minda-Nye,10000,Nigeria,Africa,en,Shoo-Minda-Nye
biy,Birhor,2000,India,South Asia,hi,Birhor
rpt,Rapting,330,Papua New Guinea,Pacific,tpi,Rapting
bie,Bepour,50,Papua New Guinea,Pacific,tpi,Bepour
bjs,Bajan,,Barbados,Americas,en,Bajan
big,Biangai,1400,Papua New Guinea,Pacific,tpi,Biangai
bda,Bayot,21000,Senegal,Africa,fr,Bayot
blb,Bilua,,Solomon Islands,Pacific,pis,Bilua
cnh,Haka Chin,130000,Myanmar,Asia,my,Chin
blp,Blablanga,,Solomon Islands,Pacific,pis,Blablanga
blx,Mag-Indi Ayta,5000,Philippines,Asia,en,Ayta
bin,Bini,1000000,Nigeria,Africa,en,Edo
bgg,Bugun,900,India,South Asia,hi,Bugun
te-x-dhongri,Dhongri,,India,South Asia,te,
bka,Kyak,5000,Nigeria,Africa,en,Kyak
bkv,Bekwarra,100000,Nigeria,Africa,en,Bekwarra
bly,Notre,1500,Benin,Africa,fr,Notre
bfd,Bafut,115000,Cameroon,Africa,fr,Bafut
bju,Busuu,2,Cameroon,Africa,fr,Busuu
beb,Bebele,24000,Cameroon,Africa,fr,Bebele
bdp,Bende,46000,Tanzania,Africa,sw,Bende
bdj,Bai,1100,South Sudan,Africa,ar,Bai
biz,Baloi,23000,Democratic Republic of the Congo,Africa,fr,Baloi
bkf,Beeke,750,Democratic Republic of the Congo,Africa,fr,Beeke
bim,Bimoba,180000,Ghana,Africa,en,Bimoba
bff,Bofi,29000,Central African Republic,Africa,fr,Bofi
bkt,Boloki,4200,Democratic Republic of the Congo,Africa,fr,Boloki
bkg,Buraka,26000,Central African Republic,Africa,fr,Buraka
ruc,Ruuli,185000,Uganda,Africa,en,Ruuli
bnc,Bontok,600000,Philippines,Pacific,ilo,Bontok
bnk,Bierebo,800,Vanuatu,Pacific,fr,Bierebo
bnr,Butmas-Tur,520,Vanuatu,Pacific,fr,Butmas-Tur
bmz,Baramu,970,Papua New Guinea,Pacific,tpi,Baramu
bof,Bolon,23000,Burkina Faso,Africa,fr,Bolon
sbd,Southern Samo,85000,Burkina Faso,Africa,fr,Samo
tvt,Tutsa Naga,25000,India,South Asia,en,Naga
blc,Bella Coola,,Canada,Americas,en,Bella Coola
bqq,Biritai,250,Indonesia,Pacific,id,Biritai
bnv,Bonerif,4,Indonesia,Pacific,id,Beneraf
npn,Mondropolon,600,Papua New Guinea,Pacific,tpi,Mondropolon
sdg,Savi,3000,Afghanistan,Eurasia,ps,Savi
bnq,Bantik,3000,Indonesia,Pacific,id,Bantik
sdu,Sarudu,5800,Indonesia,Pacific,id,Sarudu
bne,Bintauna,11200,Indonesia,Pacific,id,Bintauna
whu,Wahau Kayan,900,Indonesia,Pacific,id,Kayan
bqr,Burusu,4400,Indonesia,Pacific,id,Burusu
bpo,Anasi,2800,Indonesia,Pacific,id,Anasi
bny,Bintulu,4200,Malaysia,Asia,ms,Bintulu
blg,Balau,5000,Malaysia,Asia,ms,Balau
rop,Kriol,,Australia,Pacific,en,Kriol
bmj,Bote-Majhi,24664,Nepal,South Asia,ne,Bote
scb,Chut,500,Vietnam,Asia,vi,Chut
scs,North Slavey,,Canada,Americas,en,Slavey
blq,Baluan-Pam,2300,Papua New Guinea,Pacific,tpi,Baluan-Pam
roo,Rotokas,5600,Papua New Guinea,Pacific,tpi,Rotokas
sec,Sechelt,,Canada,Americas,en,Sechelt
bnp,Bola,15800,Papua New Guinea,Pacific,tpi,Bola
see,Seneca,,United States,Americas,en,Seneca
bpu,Bongu,970,Papua New Guinea,Pacific,tpi,Bongu
bpi,Bagupi,35,Papua New Guinea,Pacific,tpi,Bagupi
bql,Bilakura,15,Papua New Guinea,Pacific,tpi,Bilakura
bmc,Biem,2500,Papua New Guinea,Pacific,tpi,Biem
bmk,Ghayavi,3250,Papua New Guinea,Pacific,tpi,Ghayavi
bpm,Biyom,400,Papua New Guinea,Pacific,tpi,Biyom
faa,Fasu,1360,Papua New Guinea,Pacific,tpi,Fasu
bli,Bolia,120000,Democratic Republic of the Congo,Africa,fr,Bolia
sdb,شەبەکی,8000,Iraq,Eurasia,ar,Shabak
sek,Sekani,,Canada,Americas,en,Sekani
pna-x-punanhalanga,Punan Halanga,,Indonesia,Pacific,id,
dsn,Dusner,20,Indonesia,Pacific,id,Dusner
ce,нохчийн мотт,1400000,Russian Federation,Eurasia,ru,Chechen
boa,Bora,,Peru,Americas,es-419,Bora
bpx,Palya Bareli,10000,India,South Asia,hi,Bareli
kpv,Ко́ми-зыря́нский,217000,Russian Federation,Eurasia,ru,Komi-Zyrian
rog,Tiếng Ra Glai,61000,Vietnam,Asia,vi,Roglai
day-x-dayaksambas,Dayak Sambas,,Indonesia,Pacific,id,
nfd,Ahwai,15000,Nigeria,Africa,en,Ahwai
ruk,Che,100000,Nigeria,Africa,en,Kuce
scw,Sha,3000,Nigeria,Africa,en,Sha
bqw,Buru (Nigeria),800,Nigeria,Africa,en,Buru
scg-x-semerawai,Dayak Semerawai,,Indonesia,Pacific,id,
kei-x-besar,Kei Besar,,Indonesia,Pacific,id,
bnz,Beezen,380,Cameroon,Africa,fr,Beezen
bqo,Balo,2200,Cameroon,Africa,fr,Balo
bmv,Bum,24200,Cameroon,Africa,fr,Bum
nij-x-kapuas,Dayak Kapuas,,Indonesia,Pacific,id,
bmf,Bom,250,Sierra Leone,Africa,en,Bom
rof,Rombo,1500000,Tanzania,Africa,sw,Rombo
seg,Segeju,7000,Tanzania,Africa,sw,Segeju
bmg,Bamwe,27000,Democratic Republic of the Congo,Africa,fr,Bamwe
bng,Benga,1000,Equatorial Guinea,Africa,es,Benga
bpj,Binji,200000,Democratic Republic of the Congo,Africa,fr,Binji
bqu,Boguru,-1,Democratic Republic of the Congo,Africa,fr,Boguru
bml,Bomboli,2500,Democratic Republic of the Congo,Africa,fr,Bomboli
bnl,Boon,59,Somalia,Africa,ar,Boon
seb,Shempire Senoufo,130000,Côte d’Ivoire,Africa,fr,Sénoufo
jav-x-tegal,Tegal,,Indonesia,Pacific,id,Tegal
bwy,Cwi Bwamu,24000,Burkina Faso,Africa,fr,Bwamu
bxl,Jalkunan,500,Burkina Faso,Africa,fr,Jalkunan
nme,Mzieme Naga,29000,India,South Asia,en,Naga
byl,Bayono,100,Indonesia,Pacific,id,Bayono
skx,Seko Padang,5000,Indonesia,Pacific,id,Seko Padang
noc,Nuk,1000,Papua New Guinea,Pacific,tpi,Nuk
mbs,Sarangani Manobo,58000,Philippines,Asia,en,Manobo
sjb,Sajau Basap,6000,Indonesia,Pacific,id,Sajau Basap
skz,Sekar,450,Indonesia,Pacific,id,Sekar
bvt,Bati (Indonesia),3500,Indonesia,Pacific,id,Bati
byr,Baruya,8250,Papua New Guinea,Pacific,tpi,Yipma
bvu,Bukit Malay,59000,Indonesia,Pacific,id,Malay
all,Allar,350,India,South Asia,ml,Allar
bvn,Buna,830,Papua New Guinea,Pacific,tpi,Buna
bwp,Mandobo Bawah,20000,Indonesia,Pacific,id,Mandobo Bawah
sdx,Sibu Melanau,110000,Malaysia,Asia,ms,Melanau
bwd,Bwaidoka,7500,Papua New Guinea,Pacific,tpi,Bwaidoka
bxh,Buhutu,1500,Papua New Guinea,Pacific,tpi,Buhutu
bwk,Bauwaki,600,Papua New Guinea,Pacific,tpi,Bauwaki
bxa,Tairaha,,Solomon Islands,Pacific,pis,Tairaha
yka,Yakan,106000,Philippines,Asia,en,Yakan
byz,Banaro,3100,Papua New Guinea,Pacific,tpi,Banaro
six,Sumau,2850,Papua New Guinea,Pacific,tpi,Sumau
sjr,Siar-Lak,2400,Papua New Guinea,Pacific,tpi,Siar-Lak
sdz,Sallands,,Netherlands,Eurasia,nl,Sallands
sfe,Eastern Subanen,7000,Philippines,Asia,ceb,Subanen
aey-x-huar,Huar,,Papua New Guinea,Pacific,tpi,
bda-x-aramme,Bayote Aramme,2200,Guinea-Bissau,Africa,fr,
bpr,Koronadal Blaan,150000,Philippines,Asia,ceb,Blaan
sku,Sakao,,Vanuatu,Pacific,fr,Sakao
bps,Sarangani Blaan,90800,Philippines,Asia,ceb,Blaan
sky,Sikaiana,,Solomon Islands,Pacific,pis,Sikaiana
bvi,Belanda Viri,,South Sudan,Africa,ar,Belanda Viri
sjb-x-pelancau,Punan Pelan Cau,,Indonesia,Pacific,id,
clw,Чулымский,270,Russian Federation,Eurasia,ru,Chulym
bpn,藻敏,70000,China,Asia,zh,Dzao Min
byo,Biyo,120000,China,Asia,zh,Biyo
sjo,锡伯语,30000,China,Asia,zh,Xibe
sbn,سندھی زبان,57000,Pakistan,Eurasia,ur,Sindhi Bhil
mml,克蔑话,900,China,Asia,zh,Man Met
scv,Sheni,6,Nigeria,Africa,en,Sheni
bvj,Baan,5000,Nigeria,Africa,en,Baan
bxq,Beele,60,Nigeria,Africa,en,Beele
bxs,Busam,1500,Cameroon,Africa,fr,Busam
bxp,Bebil,6000,Cameroon,Africa,fr,Bebil
bwg,Barwe,18000,Mozambique,Americas,pt,Barwe
bvo,Bolgo,2000,Chad,Africa,ar,Bolgo
bxg,Bangala,10000,Democratic Republic of the Congo,Africa,fr,Bangala
byg,Baygo,-1,Sudan,Africa,ar,Baygo
bvq,Birri,200,Central African Republic,Africa,fr,Birri
bxk,Bukusu,1530000,Kenya,Africa,sw,Lubukusu
bwu,Buli (Ghana),173000,Ghana,Africa,en,Buli
bwl,Bwela,10000,Democratic Republic of the Congo,Africa,fr,Bwela
bwc,Bwile,35000,Zambia,Americas,en,Bwile
bwz,Bwisi,4250,Congo,Africa,fr,Bwisi
shw,Shwai,1800,Sudan,Africa,ar,Shwai
sfw,Sehwi,290000,Ghana,Africa,en,Sehwi
snp,Siane,32000,Papua New Guinea,Pacific,tpi,Siane
nrg,Narango,,Vanuatu,Pacific,fr,Narango
cas,Tsimané,,Bolivia,Americas,es-419,Tsimané
smt,Simte,10200,India,South Asia,mni,Simte
cdf,Chiru,8500,India,South Asia,mni,Chiru
cdj,Churahi,160000,India,South Asia,pa,Churahi
nqo,N'Ko,-1,Guinea,Africa,mnk,N’ko
sjl,Sajalong,6500,India,South Asia,en,Miji
cga,Changriwa,690,Papua New Guinea,Pacific,tpi,Changriwa
shl,Shendu,1000,India,South Asia,en,Shendu
djn,Djauan,,Australia,Pacific,en,Djauan
coz,Chochotec,,Mexico,Americas,es-419,Chocholtec
bzb,Andio,1700,Indonesia,Pacific,id,Andio
chh,Chinook,,United States,Americas,en,Chinook
chr,Cherokee,,United States,Americas,en,Cherokee
cao,Chácobo,,Bolivia,Americas,es-419,Chácobo
bye,Pouye,1050,Papua New Guinea,Pacific,tpi,Pouye
cav,Cavineña,,Bolivia,Americas,es-419,Cavineña
sks,Maia,3700,Papua New Guinea,Pacific,tpi,Maia
slu,Selaru,8000,Indonesia,Pacific,id,Selaru
cdm,Chepang,25097,Nepal,South Asia,ne,Chepang
sih,Zire,,New Caledonia,Pacific,en,Sîshëë
sje,Pite Sami,,Sweden,Eurasia,en,Saami
chy,Cheyenne,,United States,Americas,en,Cheyenne
cbl,Bualkhaw Chin,2500,Myanmar,Asia,my,Chin
chc,Catawba,,United States,Americas,en,Catawba
byw,Belhariya,600,Nepal,South Asia,ne,Belhariya
chl,Cahuilla,,United States,Americas,en,Cahuilla
smb,Simbari,3800,Papua New Guinea,Pacific,tpi,Simbari
skj,Seke (Nepal),700,Nepal,South Asia,ne,Seke
cic,Chickasaw,,United States,Americas,en,Chickasaw
xuu-x-kwedam,Kwedam,,Botswana,Africa,en,
